col,display,sortable
AcceptedName,"""Scientific Name""",FALSE
Common.name.M,"""Common Name""",FALSE
CommonName.L,NA,NA
CommonName.E,NA,NA
Source.x,NA,NA
Zone.From.Combo.x,"""Minimum Hardiness Zone""",FALSE
Zone.To.Combo.x,"""Maximum Hardiness Zone""",FALSE
ModernHardiness,NA,NA
USDAcode.HPS,"""USDA Symbol""",FALSE
USDA.Symbol,NA,NA
USDAcode.L,NA,NA
Habit.HPS,"""Plant Type""",TRUE
Habit.L,NA,NA
PlantType.E,NA,NA
Plant.Type.M,NA,NA
Growth.Form.E,NA,NA
Duration.L,"""Duration""",TRUE
Lifespan.E,"""Lifespan""",TRUE
Commercially.Available.E,NA,NA
CommercialAvail.L,"""Commercial Availability""",TRUE
Workhorse.E,NA,NA
nHPSRecords,NA,NA
NativeRange,NA,NA
Distribution.in.USA.E,NA,NA
Distribution.L,NA,NA
USDAstatus.L,"""USDA Status""",FALSE
Soil.Moisture.E,"""Soil Moisture""",TRUE
SoilMoisture.L,NA,NA
Moisture.Use.E,NA,NA
WaterUse.L,"""Water Use""",TRUE
Moisture.M,NA,NA
Drought.Tolerance.E,"""Drought Tolerance""",TRUE
SolpH.L,NA,NA
pH.Range..E,"""pH""",FALSE
SoilDescription.L,"""Soil Description""",FALSE
Soil.Texture.E,NA,NA
Sun.M,NA,NA
LightRequirements.L,NA,NA
Sun.Exposure.E,"""Sun Exposure""",TRUE
SizeNotes.L,NA,NA
Height.feet..E,"""Height""",FALSE
Growth.Rate.E,"""Growth Rate""",TRUE
Active.Growth.Period.E,"""Active Growth Season""",TRUE
Bloom.From.M,"""Blooms From""",TRUE
Bloom.To.M,"""Blooms To""",TRUE
BloomColor.L,"""Bloom Color(s)""",TRUE
BloomTime.L,"""Bloom Length""",TRUE
Flowering.Months.E,NA,NA
Flower.Color.E,NA,NA
Showy.E,"""Showy Flowers""",TRUE
Shape.and.Orientation.E,"""Plant Shape""",TRUE
Fall.Conspicuous.E,"""Conspicuous in Fall""",TRUE
Leaf.Retention.E,"""Leaf Retention""",TRUE
InterestingFoliage.L,"""Interesting Foliage""",TRUE
FragrantFoliage.L,"""Fragrant Foliage""",TRUE
PropagationDescription.L,"""Propogation Description""",FALSE
Propagation.E,NA,NA
Resprout.Ability.E,"""Resprout Ability""",TRUE
Maintenance.M,"""Maintenance""",TRUE
Hedge.Tolerance.E,"""Hedge Tolerance""",TRUE
Fire.Tolerance.E,"""Fire Tolerance""",TRUE
Palatability.Browsing.Grazing..E,"""Grazing Palatability""",TRUE
Wind.E,NA,NA
Fertility.Requirement.E,NA,NA
Salt.Tolerance.E,"""Salt Tolerance""",TRUE
Pollinator.Value.E,"""Pollinator Value""",TRUE
Benefits.To.Pollinators.E,NA,NA
Pollinators.E,"""Pollinators""",TRUE
Native.Bees.except.Bombus..E,NA,NA
Bombus.E,NA,NA
Honey.Bees.E,NA,NA
Beetles.Wasps.Flies.E,NA,NA
Moths.E,NA,NA
Butterflies.E,NA,NA
Monarchs.E,NA,NA
Nesting.and.Structure.Bees..E,NA,NA
Larval.Host.Monarch..E,NA,NA
Larval.Host.Butterfly..E,NA,NA
Larval.Host.Moth..E,NA,NA
Larval.Species.Lepidoptera..E,NA,NA
Hummingbirds.E,NA,NA
Bats.E,NA,NA
UseWildlife.L,"""Wildlife Use""",FALSE
NY_CCStatus,NA,NA
CT_CCStatus,NA,NA
RI_CCStatus,NA,NA
MA_CCStatus,NA,NA
NH_CCStatus,NA,NA
VT_CCStatus,NA,NA
ME_CCStatus,NA,NA
OH_CCStatus,NA,NA
WV_CCStatus,NA,NA
VA_CCStatus,NA,NA
MD_CCStatus,NA,NA
NJ_CCStatus,NA,NA
DE_CCStatus,NA,NA
PA_CCStatus,NA,NA
NC_CCStatus,NA,NA
KY_CCStatus,NA,NA
CommonName,NA,NA
Habit,NA,NA
Moisture,NA,NA
pH,NA,NA
Sun,NA,NA
Height,NA,NA
BloomCombined.M,NA,NA
BloomPeriod,NA,NA
Color,NA,NA
InterestingFoliage,NA,NA